show_name,country,num_episodes,aired_on,original_network,rating,current_overall_rank,lifetime_popularity_rank,watchers
,South Korea,16,"Friday, Saturday",tvN,8.9,33,1,111706
,South Korea,16,"Friday, Saturday",jTBC,8.7,89,2,100950
Descendants of the Sun,South Korea,16,"Wednesday, Thursday",KBS2,8.7,77,3,96318
Boys Over Flowers,South Korea,25,"Monday, Tuesday",KBS2,7.7,2249,4,94228
W,South Korea,16,"Wednesday, Thursday",MBC,8.5,201,5,92121
You Who Came from the Stars,South Korea,21,"Wednesday, Thursday",SBS,8.6,112,6,91360
Weightlifting Fairy Kim Bok Joo,South Korea,16,"Wednesday, Thursday",MBC,8.8,40,7,91330
The Heirs,South Korea,20,"Wednesday, Thursday",SBS,7.5,2817,8,90467
Pinocchio,South Korea,20,"Wednesday, Thursday",SBS,,273,9,82893
Healer,South Korea,20,"Monday, Tuesday",KBS2,8.9,25,10,
What's Wrong with Secretary Kim,South Korea,16,"Wednesday, Thursday",tvN,8.5,196,11,79953
While You Were Sleeping,South Korea,32,"Wednesday, Thursday",SBS,8.7,61,12,77814
Moon Lovers: Scarlet Heart Ryeo,South Korea,20,"Monday, Tuesday",SBS,8.6,95,13,74582
Secret Garden,South Korea,20,"Saturday, Sunday",SBS,8.3,435,14,71519
"Kill Me, Heal Me",South Korea,20,"Wednesday, Thursday",MBC,8.7,56,15,70018
You're Beautiful,South Korea,16,"Wednesday, Thursday",SBS,8.1,903,16,68224
The Legend of the Blue Sea,South Korea,20,"Wednesday, Thursday",SBS,8.4,342,17,67816
Crash Landing on You,South Korea,16,"Sunday, Saturday","tvN, Netflix",8.9,,18,66517
Coffee Prince,South Korea,17,"Monday, Tuesday",MBC,8.3,480,19,65330
I Hear Your Voice,South Korea,18,"Wednesday, Thursday",SBS,,128,20,64214
City Hunter,South Korea,20,"Wednesday, Thursday",SBS,8.4,307,21,64186
I'm Not a Robot,South Korea,32,"Wednesday, Thursday",MBC,8.5,229,22,63723
She Was Pretty,South Korea,16,"Wednesday, Thursday",MBC,8.1,752,23,63585
Cheese in the Trap,South Korea,16,"Monday, Tuesday",tvN,7.6,2383,24,63200
Hotel del Luna,South Korea,16,"Saturday, Sunday",tvN,8.7,79,25,63178
Fight For My Way,South Korea,16,"Monday, Tuesday",KBS2,8.5,198,26,63140
It's Okay to Not Be Okay,South Korea,16,"Saturday, Sunday","tvN, Netflix",9.1,9,27,62023
The Master's Sun,South Korea,17,"Wednesday, Thursday",SBS,8.6,124,28,60671
Suspicious Partner,South Korea,40,"Wednesday, Thursday",SBS,8.3,441,29,60007
"It's Okay, That's Love",South Korea,16,"Wednesday, Thursday",SBS,8.7,92,30,58961
Oh My Ghostess,South Korea,16,"Friday, Saturday",tvN,8.4,315,31,58677
Playful Kiss,South Korea,16,"Wednesday, Thursday",MBC,7.3,3788,32,57459
Cinderella and the Four Knights,South Korea,16,"Friday, Saturday",tvN,7.8,1653,33,57004
Dream High,South Korea,16,"Monday, Tuesday",KBS2,8,1006,34,56805
Oh My Venus,South Korea,16,"Monday, Tuesday",KBS2,8.3,459,35,56726
My ID Is Gangnam Beauty,South Korea,16,"Friday, Saturday",jTBC,8.2,693,36,55256
,South Korea,16,Tuesday,tvN,8.6,134,37,54842
Because This is My First Life,South Korea,16,"Monday, Tuesday",tvN,8.6,157,38,53732
Personal Taste,South Korea,16,"Wednesday, Thursday",MBC,7.7,2083,39,53393
Itaewon Class,South Korea,16,"Friday, Saturday","jTBC, Netflix",8.5,194,40,53256
The K2,South Korea,16,"Friday, Saturday",tvN,8.1,712,41,52293
Hwarang,South Korea,20,"Monday, Tuesday",KBS2,,1097,42,52022
Who Are You: School 2015,South Korea,16,"Monday, Tuesday",KBS2,8.3,511,44,50176
Heartstrings,South Korea,15,"Wednesday, Thursday",MBC,7.5,2803,45,49301
Her Private Life,South Korea,16,"Wednesday, Thursday",tvN,8.4,283,46,49130
To The Beautiful You,South Korea,16,"Wednesday, Thursday",SBS,7.5,2835,47,48828
Love O2O,China,30,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",JSTV,8.4,266,48,48178
Reply 1988,South Korea,20,"Friday, Saturday",tvN,9,,49,47056
Love in the Moonlight,South Korea,18,"Monday, Tuesday",KBS2,8.2,531,50,47018
My Girlfriend Is a Gumiho,South Korea,16,"Wednesday, Thursday",SBS,8.1,787,51,46963
A Korean Odyssey,South Korea,20,"Saturday, Sunday","tvN, Netflix",8.3,514,52,46548
